epoch 233, Val Loss 0.5598, Val Auc 0.8381, Val AUPR 0.8519 
epoch 233, Test Loss 0.5989, Test Auc 0.7538, Test AUPR 0.7857 
epoch 235, Val Loss 0.5588, Val Auc 0.8395, Val AUPR 0.8611 
epoch 235, Test Loss 0.5999, Test Auc 0.7755, Test AUPR 0.7936 
epoch 242, Val Loss 0.5552, Val Auc 0.8477, Val AUPR 0.8644 
epoch 242, Test Loss 0.6003, Test Auc 0.7819, Test AUPR 0.8172 
epoch 245, Val Loss 0.5533, Val Auc 0.8505, Val AUPR 0.8897 
epoch 245, Test Loss 0.5968, Test Auc 0.7640, Test AUPR 0.7715 
epoch 246, Val Loss 0.5525, Val Auc 0.8381, Val AUPR 0.8644 
epoch 246, Test Loss 0.6013, Test Auc 0.7666, Test AUPR 0.7656 
epoch 253, Val Loss 0.5487, Val Auc 0.8573, Val AUPR 0.8897 
epoch 253, Test Loss 0.5966, Test Auc 0.7704, Test AUPR 0.7762 
epoch 254, Val Loss 0.5484, Val Auc 0.8601, Val AUPR 0.8783 
epoch 254, Test Loss 0.5910, Test Auc 0.7730, Test AUPR 0.7850 
epoch 255, Val Loss 0.5478, Val Auc 0.8656, Val AUPR 0.8783 
epoch 255, Test Loss 0.5887, Test Auc 0.7717, Test AUPR 0.7989 
epoch 256, Val Loss 0.5407, Val Auc 0.8573, Val AUPR 0.8700 
epoch 256, Test Loss 0.5888, Test Auc 0.7704, Test AUPR 0.7762 
epoch 257, Val Loss 0.5380, Val Auc 0.8560, Val AUPR 0.8198 
epoch 257, Test Loss 0.6001, Test Auc 0.7628, Test AUPR 0.7720 
epoch 258, Val Loss 0.5346, Val Auc 0.8601, Val AUPR 0.8198 
epoch 258, Test Loss 0.5967, Test Auc 0.7628, Test AUPR 0.7801 
epoch 263, Val Loss 0.5336, Val Auc 0.8491, Val AUPR 0.8897 
epoch 263, Test Loss 0.5641, Test Auc 0.7742, Test AUPR 0.7656 
Best Model Result: 
epoch 263, Test Loss 0.5641, Test Auc 0.7742, Test AUPR 0.7656 
